iter	Logloss
0	0.6443494211
1	0.6059860998
2	0.5675291106
3	0.5374536574
4	0.5095075781
5	0.484307751
6	0.4624187964
7	0.4420812161
8	0.4236670011
9	0.407398465
10	0.3880173948
11	0.3705060886
12	0.3562699473
13	0.3457718672
14	0.3330812711
15	0.3215468212
16	0.3092049388
17	0.2983963183
18	0.2892019233
19	0.2821203442
20	0.2721894094
21	0.2652880337
22	0.2578546157
23	0.251374326
24	0.2470961826
25	0.2412619464
26	0.23736046
27	0.2332451568
28	0.2290088733
29	0.2248253789
30	0.221432789
31	0.2172900977
32	0.2127405283
33	0.2092366998
34	0.2057144013
35	0.2025218655
36	0.1989868319
37	0.1964517106
38	0.1937829031
39	0.1912129665
40	0.188669203
41	0.1860703027
42	0.1843724923
43	0.1832923268
44	0.1816958146
45	0.1802450421
46	0.1784054608
47	0.1761790694
48	0.1747904525
49	0.1731323847
